1,1,0,117,3,0,1.53333333333333,0.3,1,1,0.260929543347169,0.174449794972438,1,80,37
1,1,0,184,2,0,1.31666666666667,6.916666667,2,2,0.27804103612122,0.275497994680293,2,151,33
1,1,0,143,3,0,1.58333333333333,0.6,3,3,0.355364282103589,0.266882998521307,3,100,43
1,1,0,115,3,0,1.1,8.183333333,4,4,0.161868970841694,0.153305249721569,4,74,41
1,1,0,101,3,0,1.75,8.316666667,4,5,0.380547484957149,0.297840587186058,5,61,40
1,1,0,145,2,0,0.966666666666667,1.22305955,4,5,0.382439537706524,0.198949488563096,6,107,38
1,1,0,176,2,0,0.25,0.962465453,3,6,0.299313261191095,0.143814418071242,7,135,41
1,1,0,115,3,0,0,5.483333333,5,7,0.211118295257961,0.160471033493902,8,80,35
1,1,0,103,3,0,1.5,6.933333333,1,1,0.247552734744722,0.100359306868412,9,70,33
1,1,0,131,2,0,1.16666666666667,2.183333333,4,7,0.333744384823039,0.277041980729441,10,90,41
1,1,0,182,2,0,2.16666666666667,6.366666667,6,2,0.259054867988219,0.249219458888725,11,150,32
1,1,0,117,3,0,3.91666666666667,0.35,2,8,0.217045996527091,0.122707330147206,12,80,37
1,1,0,97,2,0,1.23333333333333,3.883333333,4,5,0.39896275070908,0.41967486718373,13,61,36
1,1,0,103,2,0,2.25,10.65,6,6,0.175554469320788,0.0304176868329569,14,70,33
1,1,0,73,3,0,0.666666666666667,0,7,9,0.07473253087835,0.283560607927485,15,40,33
1,1,0,146,2,0,1,1.214133319,6,10,0.352316597025411,0.202877036372557,16,105,41
1,1,0,93,3,0,1.68333333333333,1.416666667,7,5,0.193535857405208,0.171935482534593,17,64,29
1,1,0,167,3,0,1.51666666666667,0.483333333,2,8,0.261932060042501,0.241616331573797,18,124,43
1,1,0,113,3,0,2.5,2.516666667,6,2,0.265028728169058,0.350409288420087,19,75,38
1,1,0,77,3,0,0.25,9.316666667,7,9,0.254480836260185,0.242940234407401,20,50,27
1,1,0,159,2,0,2,1,8,11,0.274984974023392,0.23336712136174,21,128,31
1,1,0,56,3,0,0,9.316666667,7,9,0.210182022919821,0.228875312873938,22,28,28
1,1,0,136,3,0,2.41666666666667,0.9,6,2,0.212880692868598,0.267884515222244,23,110,26
1,1,0,95,3,0,1.25,0.722426794,6,10,0.305708077588017,0.371478744809814,24,55,40
1,1,0,68,2,0,0.766666666666667,0.966666667,7,9,0.264153335856633,0.241127235840993,25,34,34
1,1,0,150,3,0,2.23333333333333,1.516666667,3,8,0.160315818005296,0.16079405153954,26,116,34
1,1,0,111,1,0,0,0.2,2,10,0.185175500623925,0.311994620326005,27,77,34
2,1,0,315,3,0,0.916666666666667,0.116666667,8,11,0.113147545354962,0.260488521056442,28,279,36
2,1,0,133,3,0,1.16666666666667,8.916666667,2,12,0.240538101239952,0.239229163105246,29,103,30
2,1,0,99,3,0,0,0,5,8,0.179525348876305,0.125121346436091,30,70,29
2,1,0,416,3,0,1.58333333333333,0.416666667,2,13,0.112548820922609,0.39887382964414,31,382,34
2,1,0,208,3,0,2.01666666666667,2.35,9,10,0.286538022790009,0.171141386925297,32,173,35
2,1,0,98,3,0,1.41666666666667,0,5,8,0.367731250935065,0.310250185798789,33,64,34
2,1,0,95,3,0,1.31666666666667,0,5,8,0.351026579357616,0.132322370484927,34,62,33
2,1,0,115,3,0,2.41666666666667,7.216666667,9,14,0.31378047158192,0.394750463809952,35,75,40
2,1,0,119,3,0,3.4,1.4,10,12,0.158828136279026,0.16770094608312,36,86,33
2,1,0,310,3,0,0.716666666666667,0.066666667,8,11,0.439328592501449,0.179104663815967,37,273,37
2,1,0,74,3,0,4.41666666666667,1.15,6,8,0.313944047703977,0.454364776204656,38,41,33
2,1,0,110,3,0,1.73333333333333,5.233333333,9,14,0.27207462916263,0.202369238428414,39,80,30
2,1,0,68,3,0,2.5,4.3,7,8,0.19558464973759,0.273086246922215,40,35,33
2,1,0,107,1,0,0,2.416666667,2,12,0.330863382434634,0.212983243713392,41,72,35
2,1,0,158,3,0,5.91666666666667,1.55,4,12,0.184461725417717,0.270454384404109,42,125,33
2,1,0,101,2,0,0.166666666666667,1.395194423,10,8,0.3009190564173,0.295422519431374,43,66,35
2,1,0,141,3,0,0.666666666666667,0.15,9,10,0.235538516032018,0.259035740313254,44,110,31
2,1,0,124,2,0,0.266666666666667,1.139329069,7,13,0.204645763240207,0.323735851227956,45,94,30
2,1,0,116,2,0,2.98333333333333,2.183333333,6,8,0.264649274811138,0.294370953382152,46,79,37
2,1,0,159,3,0,1.58333333333333,0.283333333,3,10,0.342305294925862,0.247897117405998,47,125,34
3,1,0,200,3,0,1.03333333333333,4.25,8,11,0.247309413096273,0.308799332462028,48,160,40
3,1,0,148,3,0,1.33333333333333,1.783333333,2,15,0.171952464223215,0.340400464993845,49,115,33
3,1,0,390,3,0,1.96666666666667,7.816666667,3,16,0.294018854847364,0.337423220950494,50,352,38
3,1,0,118,2,0,0.5,9.733333333,4,7,0.179689264816295,0.243317683497816,51,75,43
3,1,0,71,3,0,0.666666666666667,4.3,7,17,0.353823519522365,0.291352125212944,52,43,28
3,1,0,81,3,0,0.966666666666667,6.566666667,6,4,0.23133292756601,0.203371853142208,53,47,34
3,1,0,166,2,0,1.08333333333333,0.1,6,17,0.327027532438299,0.353858841837139,54,129,37
3,1,0,106,3,0,1.73333333333333,0,5,15,0.445150302105273,0.077660349390547,55,70,36
3,1,0,96,3,0,0.333333333333333,8.916666667,5,7,0.211450020796414,0.230888079204962,56,60,36
